,Model Type,Metric,Mean,STD
0,CNN,test_contact_state/acc,0.6820119619369507,0.0
1,CNN-aug,test_contact_state/acc,0.7335595488548279,0.0
2,ECNN,test_contact_state/acc,0.7245859503746033,0.0
3,CNN,test_legs_avg/acc,0.869408130645752,0.0
4,CNN-aug,test_legs_avg/acc,0.8863908648490906,0.0
5,ECNN,test_legs_avg/acc,0.8836231231689453,0.0
6,CNN,test_RF/acc,0.878822386264801,0.0
7,CNN-aug,test_RF/acc,0.8864419460296631,0.0
8,ECNN,test_RF/acc,0.8508955240249634,0.0
9,CNN,test_LF/acc,0.7846344709396362,0.0
10,CNN-aug,test_LF/acc,0.8175021409988403,0.0
11,ECNN,test_LF/acc,0.8575672507286072,0.0
12,CNN,test_RH/acc,0.8991615772247314,0.0
13,CNN-aug,test_RH/acc,0.9057696461677552,0.0
14,ECNN,test_RH/acc,0.91175377368927,0.0
15,CNN,test_LH/acc,0.9150139689445496,0.0
16,CNN-aug,test_LH/acc,0.935849666595459,0.0
17,ECNN,test_LH/acc,0.9142759442329408,0.0
18,CNN,test_contact_state/f1,0.7105841865088517,0.0
19,CNN-aug,test_contact_state/f1,0.7639970356049921,0.0
20,ECNN,test_contact_state/f1,0.7597065377178089,0.0
21,CNN,test_contact_state/precision,0.819966735330827,0.0
22,CNN-aug,test_contact_state/precision,0.8555955696834834,0.0
23,ECNN,test_contact_state/precision,0.8301917674107426,0.0
24,CNN,test_contact_state/jaccard,0.5762106916243911,0.0
25,CNN-aug,test_contact_state/jaccard,0.6490832033637257,0.0
26,ECNN,test_contact_state/jaccard,0.6396234023630021,0.0
27,CNN,test_legs_avg/precision,0.7554240510678588,0.0
28,CNN-aug,test_legs_avg/precision,0.7718722065183252,0.0
29,ECNN,test_legs_avg/precision,0.7789045921997486,0.0
30,CNN,test_legs_avg/jaccard,0.715431597916748,0.0
31,CNN-aug,test_legs_avg/jaccard,0.7491463275229868,0.0
32,ECNN,test_legs_avg/jaccard,0.7392123674785527,0.0
33,CNN,test_legs_avg/f1,0.8364842798201333,0.0
34,CNN-aug,test_legs_avg/f1,0.8592179360451978,0.0
35,ECNN,test_legs_avg/f1,0.8513913333057694,0.0
36,CNN,test_legs_avg/recall,0.8520012594622141,0.0
37,CNN-aug,test_legs_avg/recall,0.8645873633011179,0.0
38,ECNN,test_legs_avg/recall,0.8677524584669172,0.0
39,CNN,test_legs_avg/balanced_acc,5.218913657212348e-06,0.0
40,CNN-aug,test_legs_avg/balanced_acc,5.3549566892345065e-06,0.0
41,ECNN,test_legs_avg/balanced_acc,5.275425795397194e-06,0.0
42,CNN,test_RF/precision,0.7644220329577532,0.0
43,CNN-aug,test_RF/precision,0.7702009188617585,0.0
44,ECNN,test_RF/precision,0.7222711952294529,0.0
45,CNN,test_LF/precision,0.6409656388432361,0.0
46,CNN-aug,test_LF/precision,0.6679908215161224,0.0
47,ECNN,test_LF/precision,0.7340888555550963,0.0
48,CNN,test_RH/precision,0.8059385215717184,0.0
49,CNN-aug,test_RH/precision,0.8028250955565426,0.0
50,ECNN,test_RH/precision,0.835131656096887,0.0
51,CNN,test_LH/precision,0.8333145055719099,0.0
52,CNN-aug,test_LH/precision,0.8776869280818343,0.0
53,ECNN,test_LH/precision,0.8407228538148726,0.0
54,CNN,test_RF/jaccard,0.735211022480058,0.0
55,CNN-aug,test_RF/jaccard,0.7508707554313006,0.0
56,ECNN,test_RF/jaccard,0.6906066999774133,0.0
57,CNN,test_LF/jaccard,0.592156862745098,0.0
58,CNN-aug,test_LF/jaccard,0.6502457540017706,0.0
59,ECNN,test_LF/jaccard,0.698521519727119,0.0
60,CNN,test_RH/jaccard,0.7665949732686045,0.0
61,CNN-aug,test_RH/jaccard,0.7833507297331942,0.0
62,ECNN,test_RH/jaccard,0.7884954344437021,0.0
63,CNN,test_LH/jaccard,0.7966445170061113,0.0
64,CNN-aug,test_LH/jaccard,0.8392252363747663,0.0
65,ECNN,test_LH/jaccard,0.7926377373758132,0.0
66,CNN,test_RF/recall,0.8555492850500229,0.0
67,CNN-aug,test_RF/recall,0.8596339719242302,0.0
68,ECNN,test_RF/recall,0.8259918526564283,0.0
69,CNN,test_LF/recall,0.7659981695633945,0.0
70,CNN-aug,test_LF/recall,0.786561786004369,0.0
71,ECNN,test_LF/recall,0.8350378443215363,0.0
72,CNN,test_RH/recall,0.8842029030582413,0.0
73,CNN-aug,test_RH/recall,0.8826254841259313,0.0
74,ECNN,test_RH/recall,0.903038987079398,0.0
75,CNN,test_LH/recall,0.9022546801771976,0.0
76,CNN-aug,test_LH/recall,0.9295282111499412,0.0
77,ECNN,test_LH/recall,0.9069411498103064,0.0
78,CNN,test_RF/f1,0.8474024345802673,0.0
79,CNN-aug,test_RF/f1,0.8577112309427258,0.0
80,ECNN,test_RF/f1,0.8169927399277903,0.0
81,CNN,test_LF/f1,0.7438423645320198,0.0
82,CNN-aug,test_LF/f1,0.7880592965319916,0.0
83,ECNN,test_LF/f1,0.8225053514062536,0.0
84,CNN,test_RH/f1,0.8678785854917593,0.0
85,CNN-aug,test_RH/f1,0.878515612966823,0.0
86,ECNN,test_RH/f1,0.8817416240024762,0.0
87,CNN,test_LH/f1,0.8868137346764868,0.0
88,CNN-aug,test_LH/f1,0.9125856037392508,0.0
89,ECNN,test_LH/f1,0.8843256178865574,0.0
90,CNN,test_RF/balanced_acc,5.2900400881714165e-06,0.0
91,CNN-aug,test_RF/balanced_acc,5.361033140633741e-06,0.0
92,ECNN,test_RF/balanced_acc,5.174229543971495e-06,0.0
93,CNN,test_LF/balanced_acc,4.829026217462736e-06,0.0
94,CNN-aug,test_LF/balanced_acc,5.1284942082847855e-06,0.0
95,ECNN,test_LF/balanced_acc,5.189940051809039e-06,0.0
96,CNN,test_RH/balanced_acc,5.339637450802683e-06,0.0
97,CNN-aug,test_RH/balanced_acc,5.44782585827205e-06,0.0
98,ECNN,test_RH/balanced_acc,5.362842634688571e-06,0.0
99,CNN,test_LH/balanced_acc,5.416950872412556e-06,0.0
100,CNN-aug,test_LH/balanced_acc,5.482473549747449e-06,0.0
101,ECNN,test_LH/balanced_acc,5.374690951119672e-06,0.0
